;Fase;Banco;Tipo.de.tronadura;Tipo.Material;M;Dominio.Estructural;Diametro;B;S;Tiempo.entre.Pozos..MS.;TIEMPO.ENTRE.FILAS..MS.;Fc;Tipo.Explosivo;P10;P20;P30;P40;P50;P60;P70;P80;P90;P100;Este;Norte;Cota
1001;Stage 4;2885;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;524;B;0,9055123;1,4960638;2,362206;3,1889781;3,7401595;4,2126007;5,0393728;5,6299243;6,2204758;8,2283509;59064;90362;2885
1002;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;502;B;1,0629927;1,968505;2,9133874;3,6614193;4,2126007;4,8425223;5,3543336;5,905515;6,7322871;10,629927;58964;90618;2870
1003;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;198;B;0,4330711;0,9842525;1,4960638;1,8897648;2,2440957;2,6377967;3,0314977;3,4251987;3,9763801;5,118113;59511;91779;3470
1004;Stage 4;2885;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;524;B;0,5905515;1,6929143;2,755907;3,3858286;4,1338605;4,724412;5,2755934;5,7874047;6,299216;9,0157529;59054;90346;2885
1005;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;498;B;0,6692917;1,4566937;2,5590565;3,2677183;3,93701;4,3700811;5,0393728;5,5511841;6,4960665;9,5275642;58973;90591;2870
1006;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;161;B;0,35;0,79;1,38;1,77;2,13;2,52;3,03;3,31;3,86;5,12;59478,64;91772,66;3470
1007;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;498;B;0,28;0,47;0,75;1,18;1,85;2,64;3,66;5,51;7,17;10,08;58935,49;90606,89;2870
1008;Stage 4;2885;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;524;B;0,31;0,55;0,75;1,14;2,13;3,39;4,33;5,83;7,72;13,82;59067,98;90336,21;2885
1009;Stage 4;2885;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;524;B;0,12;0,35;0,55;0,83;1,54;2,76;4,21;5,39;7,01;11,34;59046,46;90313,55;2885
1010;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;161;B;0,35;0,51;0,75;1,06;1,46;2,05;2,64;3,7;5,2;9,25;59466,92;91756,49;3470
1011;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;498;B;0,67;0,94;1,22;1,61;2,13;2,91;3,9;5,39;7,6;12,17;58911,25;90621,28;2870
1012;Stage 4;2885;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;524;B;0,12;0,51;0,75;1,18;1,93;2,95;4,17;5,75;7,76;12,52;59046,23;90298,83;2885
1013;Stage 4;2885;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;524;B;0,12;0,39;0,63;1,02;2,24;3,5;4,65;5,83;7,4;12,24;59037,99;90282,77;2885
1014;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;161;B;0,08;0,24;0,39;0,63;1,06;1,73;2,68;3,7;5,16;8,62;59444,23;91742,78;3470
1015;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;498;B;0,51;0,83;1,3;2,09;2,91;3,74;4,65;5,59;7,44;13,94;58914,81;90650,92;2870
1016;Stage 4;2885;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;524;B;0,43;0,71;0,98;1,5;2,4;3,39;4,49;5,86;7,32;14,17;59035,1;90266,5;2885
1017;Stage 4;2885;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;524;B;0,55;0,75;0,98;1,89;3,03;4,02;4,92;5,75;7,28;13,82;59032,47;90252,01;2885
1018;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;161;B;0,31;0,59;0,79;1,1;1,46;1,97;2,72;3,73;4,84;10,71;59430,11;91706,71;3470
1019;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;498;B;0,2;0,43;0,67;1,26;2,4;3,43;4,72;5,71;7,13;11,38;58909,66;90678,24;2870
1020;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;161;B;0,39;0,59;0,87;1,22;1,65;2,17;2,87;3,58;4,61;7,95;59397,11;91683,93;3470
1021;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;498;B;0,16;0,55;0,87;1,5;2,4;3,46;4,65;5,79;7,8;12,6;58871,99;90669,41;2870
1022;Stage 4;2885;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;524;B;0,12;0,28;0,51;0,75;0,94;2,05;4,06;5,75;7,8;14,96;59099,75;90316,82;2885
1023;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;161;B;0,63;0,94;1,3;1,73;2,24;2,8;3,35;3,9;4,76;8,58;59368,87;91655,44;3470
1024;Stage 2;3485;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;185;H;0,47;0,79;1,1;1,54;2,05;2,6;3,23;3,82;4,76;8,58;59040,38;91503,99;3485
1025;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;498;B;0,12;0,16;0,51;0,75;1,46;2,99;4,21;5,47;7,13;15,31;58959,92;90673,4;2870
1026;Stage 4;2885;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;524;B;0,35;0,59;0,87;1,22;1,81;2,76;4,09;5,59;7,28;13,15;59123,17;90348,79;2885
1027;Stage 2;3485;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;185;H;0,55;0,83;1,06;1,38;1,77;2,36;2,95;3,74;4,92;10,94;58931,4;91528,41;3485
1028;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;161;B;0,63;0,87;1,1;1,42;1,93;2,48;3,03;3,86;5;10,16;59487,52;91582,54;3485
1029;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;498;B;0,08;0,12;0,47;0,75;1,46;2,64;3,86;5,59;7,91;15,08;58990,65;90668,82;2870
1030;Stage 2;3485;Tronadura 2;Lastre;L8;Norte;12,25;14;14;4;30;144;C;0,6299216;0,9448824;1,2204731;1,574804;2,0078751;2,5984266;3,149608;3,8582698;5,3149635;8,9763828;58662;91464;3485
1031;Stage 2;3485;Tronadura 2;Lastre;L8;Norte;12,25;14;14;4;30;144;C;0,5905515;0,9055123;1,3385834;1,8897648;2,6771668;3,3858286;4,1732306;4,9212625;6,1811057;11,4566991;58693;91439;3485
1032;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,1181103;0,4724412;0,7480319;0,9055123;1,4566937;2,8740173;4,4488213;5,905515;9,448824;15,6692998;59078;89795;2885
1033;Stage 2;3485;Tronadura 2;Lastre;L8;Norte;12,25;14;14;4;30;144;C;0,5905515;0,9055123;1,2598432;1,6929143;2,2834658;3,0314977;3,7007894;4,5275615;6,6535469;10,5118167;58715;91415;3485
1034;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,1181103;0,3543309;0,6299216;1,3385834;2,4409462;3,6220492;4,8425223;5,9448851;9,6456745;13,4645742;59042;89861;2885
1035;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,0787402;0,3543309;0,6692917;1,3779535;2,5196864;3,5826791;4,4094512;5,7086645;7,4409489;10,9842579;59036;89877;2885
1036;Stage 2;3485;Tronadura 2;Lastre;L8;Norte;12,25;14;14;4;30;144;C;0,5118113;0,9055123;1,4960638;2,0866153;2,6377967;3,1889781;3,8582698;4,5669316;5,4330738;8,8976426;58708;91458,38;3485
1037;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,1574804;0,5118113;0,9055123;1,4566937;2,2834658;3,543309;4,5669316;5,9448851;8,0708705;13,5433144;59070;89856;2885
1038;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,1574804;0,5118113;0,8267721;1,2598432;1,9291349;2,9527575;4,0551203;5,6692944;7,9921303;13,5433144;59067;89865;2885
1039;Stage 2;3485;Tronadura 2;Lastre;L8;Norte;12,25;14;14;4;30;135;C;0,46063017;0,81496107;1,34645742;1,87795377;2,37401703;2,87008029;3,47244282;4,11023844;4,88976642;8,00787834;58741;91421;3485
1040;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,6299216;1,181103;1,8110246;2,4409462;3,149608;3,8976399;4,6850419;5,7480346;6,7322871;8,9763828;59053;89853;2885
1041;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,7480319;1,181103;1,7716545;2,4409462;3,1889781;3,8188997;4,7637821;5,905515;7,1259881;9,4094539;59055;89866;2885
1042;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,393701;0,9842525;1,7322844;2,4803163;3,2283482;3,9763801;4,7637821;5,5511841;7,3622087;10,1574858;59058;89878;2885
1043;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,5905515;1,4566937;2,2440957;2,9527575;3,6220492;4,2126007;4,9212625;5,7480346;7,7165396;10,1574858;59053;89889;2885
1044;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,393307299;0,983268248;1,730552116;2,477835984;3,225119852;3,97240372;4,759018318;5,545632916;7,354846491;10,14732831;59035;89888;2885
1045;Stage 2;3485;Tronadura 2;Lastre;L8;Norte;12,25;14;14;4;30;135;C;0,08;0,24;0,43;0,67;1,26;2,72;4,45;5,87;8,5;13,15;58925,19;91414,47;3485
1046;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,24;0,43;0,63;1,18;2,24;3,27;4,33;5,79;7,24;9,88;59032,05;89901,3;2885
1047;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,08;0,12;0,39;0,59;1,14;2,76;4,25;5,67;7,91;13,35;59020,33;89911,74;2885
1048;Stage 2;3485;Tronadura 2;Roca 2;L8;Norte;12,25;10,5;10,5;4;30;180;E;0,43;0,75;1,57;2,2;2,68;3,11;3,46;3,78;4,61;6,02;59137,69;91520,48;3485
1049;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,71;1,3;2,01;2,68;3,15;3,86;4,61;5,83;7,2;10,2;59001,23;89871,64;2885
1050;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,47;0,75;1,1;1,57;2,32;3,15;4,21;5,51;7,48;12,13;59035,23;89819,88;2885
1051;Stage 2;3485;Tronadura 2;Roca 2;L8;Norte;12,25;10,5;10,5;4;30;180;E;0,2;0,35;0,55;0,83;1,38;2,2;2,95;3,74;5,12;8,46;59321,63;91514,3;3485
1052;Stage 2;3485;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;199;J;0,28;0,51;0,71;1,1;1,73;2,4;3,19;3,9;5,24;9,69;59527,6;91619,48;3485
1053;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,08;0,24;0,51;1,1;2,24;3,5;4,53;5,51;7,13;9,65;58985;89828,05;2885
1054;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,16;0,55;0,87;1,38;2,09;3,07;4,09;5,55;7,17;11,26;58962,91;89883,1;2885
1055;Stage 2;3485;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;199;J;0,39;0,63;0,91;1,34;2,01;2,64;3,19;3,82;4,57;6,38;59478,49;91561,85;3485
1056;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,08;0,35;0,59;1,14;2,13;3,27;4,37;5,55;7,6;11,77;58958,52;89921,09;2885
1057;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;503;B;0,12;0,35;0,55;0,91;1,81;3,15;4,25;5,79;7,76;14,21;58966,39;89936,98;2885
1058;Stage 2;3485;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;199;J;0,31;0,47;0,71;1,1;1,5;1,97;2,6;3,54;4,92;7,87;59407,55;91563,75;3485
1059;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;508;B;0,24;0,67;1,81;2,56;3,39;4,37;4,88;5,55;6,65;9,45;58958,3;89961,89;2885
1060;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;508;B;0,28;0,55;1,14;2,09;2,76;3,62;4,45;5,71;8,86;10,2;58964,1;89978,41;2885
1061;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;176;B;0,63;0,83;1,02;1,3;1,65;2,13;2,68;3,66;5,35;8,66;59148,09;91643,79;3470
1062;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;508;B;0,67;0,94;1,3;1,69;2,2;2,95;3,86;5,43;7,52;13,15;58965,38;90023,56;2885
1063;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;508;B;0,51;0,83;1,3;1,93;2,64;3,46;4,29;5,31;6,69;8,9;58986,18;90035,01;2885
1064;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;176;B;0,35;0,59;0,91;1,3;1,77;2,36;2,87;3,62;4,76;9,29;59193,71;91674,33;3470
1065;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;508;B;0,08;0,31;0,47;0,75;1,73;2,95;4,37;5,67;7,76;11,3;58982,3;90066,81;2885
1066;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;508;B;0,16;0,43;0,75;1,18;2,24;3,43;4,49;5,63;7,28;12,28;58993,96;90081,06;2885
1067;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;176;B;0,7086618;1,2598432;1,7716545;2,2047256;2,6377967;3,1102379;3,5826791;4,330711;5,118113;6,692917;59226;91692;3470
1068;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;508;B;0,9448824;1,5354339;2,2047256;2,9133874;3,543309;4,330711;5,0000027;5,4724439;7,4015788;10,0000054;59011;90100;2885
1069;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;14;14;4;30;176;B;0,5118113;1,0236226;1,4960638;1,8503947;2,2440957;2,6771668;3,0708678;3,7795296;4,8818924;5,9448851;59245;91703;3470
1070;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;508;B;0,6299216;1,5354339;2,2440957;2,8346472;3,4645688;4,0157502;4,6063017;5,6692944;6,4566964;13,1496134;59017;90130;2885
1071;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;508;B;0,7086618;1,1417329;1,5354339;2,0866153;2,755907;3,5826791;4,3700811;5,3149635;6,3779562;9,6456745;59034;90099;2885
1072;Stage 2;3470;Tronadura 2;Roca 2;L8;Norte;12,25;14;14;4;30;176;B;0,787402;1,4566937;1,8897648;2,2047256;2,5590565;3,1102379;3,5826791;4,1732306;4,8818924;7,6377994;59271;91668;3470
1073;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;508;B;0,7480319;2,0472452;2,6377967;3,543309;3,93701;4,3700811;5,1574831;5,6692944;6,8503974;8,7795323;59032;90150;2885
1074;Stage 2;3470;Tronadura 2;Roca 2;L8;Norte;12,25;14;14;4;30;176;B;0,5511814;1,5354339;2,0078751;2,2834658;2,7165369;3,2283482;3,5826791;4,0551203;4,7637821;8,6220519;59281;91719;3470
1075;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;508;B;0,3543309;0,8661422;1,9291349;2,6771668;3,3858286;4,1732306;4,8031522;5,9842552;7,2834685;12,2441011;59065;90122;2885
1076;Stage 2;3470;Tronadura 2;Roca 2;L8;Norte;12,25;14;14;4;30;176;B;0,5905515;0,9448824;1,5354339;2,0472452;2,5590565;3,0708678;3,7007894;4,0944904;5,0787429;8,8976426;59294;91730;3470
1077;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;492;B;1,2204731;1,8503947;2,4803163;2,9527575;3,4645688;3,8976399;4,2519708;5,1574831;6,3779562;7,7952798;58985;90602;2870
1078;Stage 2;3470;Tronadura 2;Roca 2;L8;Norte;12,25;14;14;4;30;176;B;1,1417329;1,7716545;2,3228359;2,9133874;3,3858286;3,8582698;4,3700811;5,1968532;6,4173263;8,7401622;59320;91738;3470
1079;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;492;B;0,5511814;1,2598432;2,1653555;2,8346472;3,3464585;3,8582698;4,4094512;5,3149635;6,0629954;8,0315004;59025;90671;2870
1080;Stage 2;3470;Tronadura 2;Roca 2;L8;Norte;12,25;14;14;4;30;161;B;0,7480319;1,3385834;1,8503947;2,3228359;2,9527575;3,4645688;4,2519708;4,8031522;5,5905542;7,1653582;59333;91695;3470
1081;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;492;B;0,8267721;1,2992133;1,968505;2,5984266;3,1889781;3,8188997;4,3700811;5,1968532;6,3779562;7,8346499;59058;90671;2870
1082;Stage 2;3470;Tronadura 2;Roca 2;L8;Norte;12,25;14;14;4;30;161;B;0,2;0,55;0,94;1,46;2,05;2,76;3,62;4,69;6,5;11,06;59338,64;91743,54;3470
1083;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;498;B;0,31;0,63;0,98;1,65;2,44;3,39;4,25;5,35;7,2;12,48;58973,06;90702,62;2870
1084;Stage 2;3470;Tronadura 2;Roca 2;L8;Norte;12,25;14;14;4;30;161;B;0,28;0,47;0,79;1,14;1,57;2,09;2,68;3,46;4,92;7,87;59372,73;91750,55;3470
1085;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;492;B;0,35;0,59;0,91;1,65;2,56;3,39;4,37;5,63;7,52;10,43;59077,26;90675,07;2870
1086;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;4;30;508;B;0,12;0,28;0,51;1,06;2,48;3,86;4,84;6,22;8,62;12,8;59021,2;89949,67;2885
1087;Stage 2;3470;Tronadura 2;Roca 2;L8;Norte;12,25;14;14;4;30;161;B;0,35;0,71;1,02;1,57;2,28;3,07;3,86;4,57;5,55;8,5;59378,89;91783,03;3470
1088;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;492;B;0,24;0,47;0,71;1,14;1,85;2,8;3,86;5,28;6,89;10,71;59086,48;90677,46;2870
1089;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;226;B;0,31;0,51;0,71;1,02;1,54;2,24;3,27;4,57;6,69;11,06;59025,45;90724,22;2870
1090;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;492;B;0,43;0,79;1,22;1,81;2,72;3,66;4,69;5,94;7,76;16,1;59614,97;91702,33;3470
1091;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;226;B;0,08;0,24;0,35;0,51;0,75;1,5;2,36;3,66;5,31;8,7;59628,69;91757,63;3470
1092;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;492;B;0,28;0,59;0,91;1,38;2,01;2,91;3,94;5,51;6,85;13,07;59071,92;91719,98;2870
1093;Stage 2;3470;Tronadura 2;Roca 2;L8;Norte;12,25;14;14;4;30;176;B;0,51;0,75;0,98;1,3;1,73;2,32;3,03;3,82;5,35;9,84;59245,34;91595,05;3470
1094;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;226;B;0,31;0,51;0,83;1,14;1,69;2,4;3,11;3,86;4,84;12,8;59553,58;91764,65;3470
1095;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;492;B;0,35;0,63;0,91;1,61;2,8;3,94;4,76;5,93;6,54;12,44;59107,07;90670,45;2870
1096;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;2;25;523;B;0,16;0,51;0,83;1,22;2,01;3,07;4,41;5,83;7,36;13,54;59028,57;90138,72;2885
1097;Stage 2;3470;Tronadura 2;Roca 2;L8;Norte;12,25;14;14;4;30;176;B;0,31;0,55;0,83;1,26;1,81;2,44;3,19;3,82;5,08;7,24;59204,69;91597,65;3470
1098;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;226;B;0,43;0,79;1,1;1,42;1,77;2,2;2,87;3,62;4,57;10,59;59551,1;91729,55;3470
1099;Stage 4;2870;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;492;B;0,87;1,18;1,5;1,81;2,28;3,03;4,13;5,71;9,06;15,71;59094,53;90730,7;2870
1100;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;2;25;523;B;0,12;0,31;0,51;0,75;1,38;2,4;3,62;5,35;7,48;12,32;59052,86;90156,86;3005
1101;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;226;B;0,5905515;1,0629927;1,7322844;2,1653555;2,6377967;3,2283482;3,7401595;4,724412;5,4330738;8,661422;59526;91710;3470
1102;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;2;25;523;B;0,9448824;1,7716545;2,3228359;2,8740173;3,3464585;3,8582698;4,4881914;5,1968532;6,5354366;11,5354393;59075;90177;2885
1103;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;226;B;0,9448824;1,574804;2,1259854;2,5984266;3,0708678;3,6614193;4,0551203;4,8425223;5,6299243;9,0157529;59540;91688;3470
1104;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;2;25;523;B;1,4566937;2,1259854;2,6771668;3,2283482;3,7795296;4,2913409;4,8031522;5,6692944;6,2204758;7,8346499;59092;90186;2885
1105;Stage 2;3470;Tronadura 2;Roca 2;L8;Norte;12,25;14;14;4;30;161;B;0,9055123;1,6141741;2,2440957;2,8346472;3,3858286;3,8582698;4,330711;4,724412;5,5905542;7,2047283;59425;91768;3470
1106;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;226;B;0,5118113;0,9842525;1,3779535;1,6929143;2,0472452;2,4015761;3,0314977;3,5826791;4,4488213;6,9685077;59513;91665;3470
1107;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;2;25;523;B;0,9842525;1,7322844;2,1653555;2,755907;3,1889781;3,7401595;4,330711;5,4330738;6,9685077;7,3622087;59116;90212;2885
1108;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;226;B;0,8267721;1,2204731;1,7716545;2,2834658;2,755907;3,2283482;3,8582698;4,3700811;5,3937037;8,267721;59495,8;91650,8;3470
1109;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;2;25;523;B;0,8661422;1,6535442;2,2047256;2,7952771;3,1889781;3,7795296;4,4488213;5,4724439;6,3779562;9,842525;59124;90248;2885
1110;Stage 4;2885;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;4;30;487;B;1,181103;2,0078751;2,755907;3,3464585;3,8188997;4,4094512;5,2362233;5,7874047;6,4173263;8,9370127;59143;90432;2885
1111;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;226;B;0,7086618;1,1417329;1,6535442;2,1653555;2,6377967;3,1889781;3,7795296;4,4094512;6,0236253;7,5590592;59585;91698;3470
1112;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;2;25;523;B;0,9448824;1,8897648;2,5196864;3,0708678;3,5826791;4,2519708;5,0393728;5,6692944;7,4015788;9,6456745;59144;90261;2885
1113;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;14;14;4;30;176;B;0,6692917;0,9448824;1,3385834;1,7322844;2,1653555;2,5590565;3,0314977;3,6614193;4,7637821;7,4015788;59163;91582;3470
1114;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;226;B;0,7480319;1,2992133;1,7716545;2,4015761;2,8740173;3,3070884;3,7401595;4,2519708;5,0000027;6,9291376;59531;91608;3470
1115;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;2;25;523;B;0,9842525;1,6929143;2,1653555;2,7165369;3,1889781;3,8976399;4,5669316;5,4330738;7,0472479;13,5433144;59163;90284;2885
1116;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;14;14;4;30;176;B;0,393701;1,0629927;1,4566937;1,8897648;2,362206;2,7952771;3,2677183;3,9763801;4,6850419;6,7322871;59153;91630;3470
1117;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;226;B;0,5905515;1,0236226;1,4960638;1,8897648;2,2047256;2,5984266;3,1102379;3,8582698;4,6456718;6,0629954;59447;91617;3470
1118;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;2;25;523;B;0,8661422;1,2992133;1,7322844;2,2834658;2,8740173;3,7007894;4,4881914;5,4330738;6,6141768;10,1968559;59173;90306;2885
1119;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;226;B;0,55;0,83;1,06;1,38;1,69;2,17;2,87;3,82;5,16;11,1;59362,75;91630,95;3470
1120;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;2;25;523;B;0,43;0,67;1,02;1,54;2,32;3,23;4,21;5,39;7,17;11,57;59181,75;90320,24;2885
1121;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;200;B;0,47;0,71;0,91;1,14;1,46;1,93;2,72;3,66;5;9,33;59356,67;91587,23;3470
1122;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;2;25;523;B;0,16;0,55;0,79;1,22;1,93;3,15;4,33;5,51;8,35;15,35;59197,34;90340,96;2885
1123;Stage 4;2885;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;2;25;523;B;0,16;0,39;0,67;1,06;1,97;3,19;4,45;5,59;7,05;12,13;59175,45;90402,25;2885
1124;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;200;B;0,55;0,79;1,02;1,38;1,77;2,36;3,07;3,82;5,28;8,82;59393,5;91579,02;3470
1125;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;200;B;0,31;0,63;0,91;1,34;1,85;2,4;3,07;3,86;5,47;9,29;59420,23;91583,04;3470
1126;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;200;B;0,39;0,59;0,79;1,14;1,65;2,2;2,91;3,82;4,96;7,87;59296,93;91554,79;3470
1127;Stage 2;3470;Tronadura 2;Roca 2;L1;Norte;12,25;11;12;4;30;200;B;0,39;0,63;0,98;1,46;2,01;2,8;3,46;4,25;5,35;9,37;59001,85;91578,51;3470
